UniqueID,3_S3_R1,3-Pur_S17_R1,3_S3_R2,3-Pur_S17_R2,2_S2_R1,2_S2_R2,2-Pur_S16_R1,2-Pur_S16_R2,Undetermined_S0_R2,Undetermined_S0_R1,4_S4_R1,4-Pur_S18_R1,4_S4_R2,4-Pur_S18_R2,60-Pur_S26_R1,60-Pur_S26_R2,60_S12_R1,60_S12_R2,56_S11_R1,56_S11_R2,56-Pur_S25_R1,56-Pur_S25_R2,62-Pur_S27_R2,62-Pur_S27_R1,62_S13_R1,62_S13_R2,1_S1_R2,1_S1_R1,1-Pur_S15_R1,1-Pur_S15_R2,44_S8_R1,44_S8_R2,44-Pur_S22_R1,44-Pur_S22_R2,24-Pur_S20_R1,24_S6_R1,24_S6_R2,24-Pur_S20_R2,14-Pur_S19_R2,14-Pur_S19_R1,14_S5_R2,14_S5_R1,34-Pur_S21_R2,34-Pur_S21_R1,34_S7_R2,34_S7_R1,52_S10_R2,52_S10_R1,52-Pur_S24_R2,52-Pur_S24_R1,48_S9_R2,48_S9_R1,48-Pur_S23_R2,48-Pur_S23_R1,Ctl_S14_R1,Ctl_S14_R2,Ctl-Pur_S28_R1,Ctl-Pur_S28_R2
1643826:Eggerthellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,172,204,195,177,267,303,277,308,122,123,142,112,83,92,87,81,66,78,31,38,0,0,0,0
1263:Ruminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,97,34,36,0,0,9,11,0,0,0,0,0,0,0,0,149,187,151,190,156,193,168,202,193,231,222,255,116,146,75,77,0,0,0,0
246198:Prevotella intermedia 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,361,186,132,0,0,0,0,0,0,0,0,180,185,195,230,105,101,114,133,135,165,125,163,52,62,34,42,0,0,0,0
868129:Prevotella bivia DSM 20514,35,0,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,207,180,124,0,0,0,0,0,0,0,0,226,264,250,257,110,129,121,137,103,109,82,115,74,92,50,54,0,0,0,0
191:Azospirillum,0,33,0,21,28,40,18,16,0,0,722,525,612,452,45,46,43,31,49,48,50,46,0,0,0,0,18,0,0,12,0,40,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
710731:uncultured Acidobacteria bacterium HF4000_26D02,41,39,41,39,24,22,10,13,0,0,83,64,75,56,147,124,115,113,137,131,99,109,67,60,61,54,0,0,0,0,380,348,234,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88728:Pinus koraiensis,219,163,179,167,0,0,0,0,0,0,281,187,268,189,89,116,56,69,54,48,51,55,0,0,0,24,30,41,29,26,195,179,110,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,1
1168034:Draconibacterium orientale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,70,38,33,0,0,0,0,0,0,0,0,0,0,0,0,267,304,326,339,111,150,120,158,124,148,130,130,103,133,69,80,0,0,0,0
981085:Morus notabilis,0,24,0,29,0,0,0,0,32,50,154,121,193,118,40,33,28,29,64,68,57,66,0,0,0,0,0,0,0,0,259,227,156,144,63,55,67,51,51,58,59,49,105,104,100,115,0,0,0,0,0,0,0,0,82,55,7,0
1054217:Thermoplasmatales archaeon BRNA1,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,462,538,453,558,160,198,170,169,0,0,0,0,0,0,30,41,0,0,0,0
49546:Flavobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,39,29,26,0,0,34,25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,212,272,236,227,98,140,164,176,137,199,165,180,111,130,84,74,0,0,0,0
4558:Sorghum bicolor,0,0,0,0,9,14,4,0,42,51,54,33,44,30,41,39,28,31,0,0,0,0,0,0,0,0,13,0,0,13,587,511,282,271,51,70,72,63,60,60,70,48,86,61,54,0,0,0,0,0,0,0,0,0,0,10,2,2
439493:Candidatus Pelagibacter sp. HTCC7211,83,48,65,60,33,25,5,12,0,0,63,36,60,50,219,197,94,136,101,105,71,93,64,50,41,39,86,81,57,56,80,81,60,58,95,97,137,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234621:Rhodococcus erythropolis PR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,804,682,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437010:Boreoeutheria,295,282,239,291,65,70,37,33,0,0,239,165,204,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,191,198,108,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1
504568:Salmoninae,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,1245,163,110
471855:Slackia heliotrinireducens DSM 20476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,70,69,51,205,238,207,200,161,197,172,194,152,143,126,162,72,83,49,50,0,0,0,0
84998:Coriobacteriia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,466,416,295,151,154,127,144,128,136,107,121,39,0,0,0,0,0,0,0,0,0,0,0
760011:Sphaerochaeta coccoides DSM 17374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,460,393,446,147,191,141,169,53,48,46,47,47,0,0,0,0,0,0,0
1145276:Lysinibacillus varians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,120,58,43,0,0,0,0,214,256,133,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,140,175,171,233,307,151,199,0,0,0,0
710981:uncultured gamma proteobacterium HF0010_16J05,475,386,439,358,0,0,0,0,0,0,82,72,79,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,191,100,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
563193:Parabacteroides sp. D13,52,82,72,56,0,0,0,0,0,0,0,0,0,0,262,262,199,206,112,97,50,58,0,0,29,31,13,0,0,0,235,217,117,95,0,0,0,0,82,105,81,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
520449:Brucella sp. 83/13,92,91,98,94,0,0,0,0,0,0,332,262,349,269,56,73,58,61,49,38,50,53,0,0,0,0,0,0,0,0,0,0,0,0,139,165,148,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720554:[Clostridium] clariflavum DSM 19732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,47,33,34,0,0,0,0,114,114,28,26,0,0,0,0,0,0,0,0,0,0,0,0,136,136,135,116,130,140,156,133,163,174,163,164,99,118,64,63,0,0,0,0
1216932:Clostridium sp. M2/40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,248,269,174,115,0,0,0,0,0,0,0,0,0,0,0,0,139,145,172,174,129,156,156,184,72,58,71,71,42,49,25,44,0,0,0,0
469585:Bacteroides sp. 1_1_14,49,27,28,30,0,0,0,0,0,0,0,0,0,0,155,119,94,106,39,35,30,24,69,86,45,51,0,0,0,0,0,0,0,0,0,0,0,0,274,319,303,330,0,0,0,0,55,45,38,49,46,51,0,33,0,0,0,0
399320:Sphaerochaeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,46,35,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,412,440,408,434,145,174,156,145,0,0,0,0,0,0,0,0,0,0,0,0
405948:Saccharopolyspora erythraea NRRL 2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,713,584,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226186:Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,167,254,237,86,81,45,51,0,0,0,0,324,363,346,326,0,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0
38018:unidentified phage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,79,46,53,0,0,0,0,371,430,396,447,95,119,110,128,0,35,36,44,0,0,0,0,0,0,0,0
349161:Desulfotomaculum reducens MI-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,624,533,565,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
717961:[Eubacterium] siraeum V10Sc8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,277,122,97,0,0,0,0,0,0,0,0,177,219,202,205,122,203,155,182,41,46,36,50,46,45,0,0,0,0,0,0
879243:Porphyromonas asaccharolytica DSM 20707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,29,0,0,0,0,0,0,0,0,0,0,0,0,0,118,83,83,53,0,0,0,0,152,183,209,201,127,135,115,120,115,123,93,122,48,93,62,63,0,0,0,0
213849:Campylobacterales,47,64,59,67,0,0,0,0,0,0,24,22,22,0,328,338,250,253,46,44,23,18,107,122,90,69,0,0,0,0,0,57,0,33,84,96,62,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572479:Halanaerobium praevalens DSM 2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,714,487,571,0,0,0,0,0,0,0,0
657317:Eubacterium rectale M104/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,169,88,68,398,400,315,292,0,0,0,0,0,0,0,0,50,55,59,69,41,63,60,62,0,0,0,0,0,0,0,0,0,0,1,0
293826:Alkaliphilus metalliredigens QYMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,186,147,104,103,126,140,128,68,85,53,78,83,94,100,103,69,63,55,63,59,88,52,52,0,0,0,0
1074889:Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR,0,0,0,0,0,0,0,0,0,0,279,199,287,172,76,73,64,52,17,0,0,17,45,0,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,377,84,99
8825:Neognathae,443,551,409,468,155,135,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
9544:Macaca mulatta,85,69,77,76,391,347,132,123,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,55,0,0,0,0,0,0,0,0,0,0,0,0,333,343,74,57
763057:Mesorhizobium huakuii 7653R,0,0,0,0,0,0,0,6,0,0,100,72,109,68,0,0,0,24,30,40,26,0,0,0,0,0,265,287,155,153,202,184,102,101,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,45,34,39,81,60,12,7
1163748:Marinobacter hydrocarbonoclasticus ATCC 49840,37,21,33,27,0,0,0,0,0,0,479,344,498,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,154,99,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,2,4
565647:Enterococcus faecalis E1Sol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,630,569,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064535:Megasphaera elsdenii DSM 20460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,117,76,86,0,0,0,0,170,216,226,175,102,122,116,113,94,127,106,110,52,55,39,58,0,0,23,0,0,0,0,0
927704:Selenomonas ruminantium subsp. lactilytica TAM6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,119,128,77,0,0,0,0,128,144,166,158,136,188,166,167,84,115,82,97,47,65,25,39,0,0,0,0
699246:Mageeibacillus indolicus UPII9-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,212,185,227,143,191,159,183,92,99,98,116,90,97,61,82,0,0,0,0
31969:Mollicutes,280,230,234,212,0,0,0,0,0,0,41,25,43,24,77,63,46,48,151,151,109,135,0,0,0,0,34,52,39,25,50,48,34,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
1437201:Pentapetalae,0,0,0,0,0,0,0,0,41,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,40,31,262,454,445,268,77,68,60,73,70,62,58,50,0,0,0,0,0,0,0,0,0,0,0,0
817:Bacteroides fragilis,36,21,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,88,47,45,29,22,19,14,0,0,0,0,0,0,0,0,279,310,239,267,41,43,56,46,42,56,58,47,69,79,44,40,0,0,0,0
717960:Faecalitalea cylindroides T2-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,204,142,197,162,194,192,187,86,84,81,68,98,134,70,81,0,0,0,0
1249480:Candidatus Sulfuricurvum sp. RIFRC-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,517,408,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1307834:Gluconobacter frateurii NBRC 103465,0,0,0,0,76,80,23,37,0,0,388,313,431,287,0,0,0,0,0,16,21,0,0,0,0,0,17,15,0,0,0,0,0,0,60,82,85,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,46,9,13
118200:Picoides pubescens,412,432,297,387,184,163,140,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469378:Cryptobacterium curtum DSM 15641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,304,274,213,163,167,170,153,79,98,69,78,37,0,0,43,0,0,0,0,0,0,0,0
186817:Bacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,18,97,92,112,106,66,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,48,50,46,50,40,157,149,144,157,181,224,106,128,0,0,0,0
4155:Erythranthe guttata,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,608,546,430,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931626:Acetobacterium woodii DSM 1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,114,48,39,19,27,20,11,0,0,0,28,0,0,0,0,106,98,94,105,109,103,103,126,146,134,106,122,75,129,60,73,0,0,0,0
10842:Microvirus,0,0,0,0,0,0,0,0,767,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183967:Thermoplasmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,358,328,367,147,148,169,182,0,0,0,0,0,0,0,0,0,0,0,0
205918:Pseudomonas syringae pv. syringae B728a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,577,552,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479437:Eggerthella lenta DSM 2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,117,183,169,126,190,225,213,238,79,98,89,111,41,43,46,46,0,0,0,0,0,0,0,0
837:Porphyromonas gingivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,71,0,33,0,0,0,0,0,0,0,0,0,0,0,0,193,199,194,203,65,73,72,86,130,133,113,126,78,92,53,68,0,0,0,0
1301915:Methanocaldococcus sp. JH146,0,0,0,0,0,0,0,0,0,0,141,120,101,100,0,0,0,24,22,22,17,20,0,0,0,0,0,0,0,0,443,380,220,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,63,34,56,0,0,1,0
1343837:uncultured bacterium 122006-I05,55,51,55,48,44,147,24,61,0,0,120,75,150,101,33,84,29,71,103,115,47,70,54,0,0,38,31,18,0,24,99,149,62,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
5506:Fusarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,621,500,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334819:Fusarium verticillioides 7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,690,399,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
941639:Bacillus coagulans 2-6,0,0,0,0,267,278,136,157,0,0,0,0,0,0,139,127,98,100,131,152,68,74,0,0,0,0,61,69,41,34,56,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573061:Clostridium cellulovorans 743B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,105,105,98,114,126,128,151,146,177,143,137,137,169,90,108,0,0,0,0
431895:Monosiga brevicollis MX1,33,30,27,33,541,338,384,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,28,19,0,0,0,0,48,52,59,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
8364:Xenopus (Silurana) tropicalis,442,381,381,352,151,135,77,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1505:[Clostridium] sordellii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,87,34,38,0,0,0,0,0,0,0,0,0,0,0,0,83,82,73,70,93,95,79,85,186,211,203,223,83,96,42,74,0,0,0,0
357276:Bacteroides dorei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,361,367,398,68,96,86,101,0,42,32,0,48,47,0,0,0,0,0,0
391:Rhizobium sp.,186,151,135,133,0,0,0,0,0,0,53,39,65,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,14,58,56,0,0,149,215,242,151,0,0,0,0,44,0,0,0,63,70,61,55,0,0,0,0,0,0,0,0
526226:Gordonia bronchialis DSM 43247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,352,266,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4565:Triticum aestivum,40,37,46,36,0,0,0,0,0,0,0,0,0,0,339,337,285,261,0,0,0,0,0,0,0,0,0,0,0,0,197,192,108,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710788:uncultured Rhodospirillales bacterium HF4000_24M03,109,119,84,111,0,0,0,0,0,0,318,225,330,235,0,0,0,0,43,31,35,51,0,0,0,0,0,0,0,0,52,48,0,0,52,47,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
767031:Prevotella denticola F0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,217,146,159,0,0,0,0,0,0,0,0,169,168,171,162,59,76,72,78,40,57,46,45,43,48,24,0,0,0,0,0
1286171:Eubacterium acidaminophilum DSM 3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,135,138,176,118,139,132,141,126,137,90,125,49,77,39,38,0,0,0,0
723599:uncultured verrucomicrobium HF0500_18J03,0,0,0,0,0,0,0,0,0,0,80,43,54,46,112,102,74,62,157,135,154,149,0,0,0,0,0,0,0,0,272,224,176,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59374:Fibrobacter succinogenes subsp. succinogenes S85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,166,132,158,120,149,115,136,83,92,81,108,121,148,79,93,0,0,0,0
1354302:Aeromonas hydrophila 4AK4,577,358,483,336,0,0,0,0,0,0,58,45,58,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394503:[Clostridium] cellulolyticum H10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,421,446,404,345,0,0,44,0,39,50,0,0,41,60,56,35,0,0,0,0,0,0,0,0
446469:Sanguibacter keddieii DSM 10542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,335,322,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093:Mycoplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,435,263,251,0,0,0,0,0,0,0,0,0,0,0,0,48,62,0,50,0,42,0,0,111,146,81,103,0,0,0,0,0,0,0,0
1353243:Streptococcus anginosus subsp. whileyi MAS624,32,33,24,25,91,101,49,55,0,0,0,0,0,0,220,222,251,224,106,97,74,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,68,69,30,46,0,0,0,0
700015:Coriobacterium glomerans PW2,50,33,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,159,107,134,295,302,285,307,0,36,0,0,0,0,0,0,0,0,0,0
33926:Candidatus Phytoplasma,0,0,0,0,0,0,0,0,0,0,43,36,38,30,369,317,220,224,66,88,34,45,0,46,29,26,0,0,0,0,103,102,58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93759:Corchorus olitorius,254,190,214,165,0,0,0,0,0,0,225,187,229,192,0,0,24,20,0,0,0,0,0,0,0,0,0,0,0,0,75,63,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37682:Aegilops tauschii,0,0,0,0,0,0,0,0,0,0,32,26,33,33,150,137,106,121,119,110,89,84,82,71,71,63,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,118,183,41,60,0,0,0,0,40,47,0,32,0,0,0,0
47770:Lactobacillus crispatus,0,0,0,0,563,608,207,243,0,47,0,0,0,0,33,33,24,0,31,32,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
227290:Rhizobium/Agrobacterium group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,526,548,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985665:Paenibacillus terrae HPL-003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,495,394,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171551:Porphyromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,54,27,38,0,0,13,0,0,0,0,0,0,0,0,0,141,146,157,175,65,74,78,91,126,125,111,122,72,93,42,50,0,0,0,0
1246626:Bacillus lehensis G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,669,259,311,0,0,0,0,0,0,0,0
463191:Streptomyces sviceus ATCC 29083,135,83,111,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,371,232,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,0,34,46,54,37,61,3,0,2,0
502558:Eggerthella sp. YY7918,0,0,0,0,0,0,0,0,0,0,196,123,114,70,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,19,0,0,0,0,0,0,0,0,186,222,187,201,99,99,75,89,35,0,32,46,0,0,0,0,0,0,0,0
545694:Treponema primitia ZAS-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,376,193,178,0,0,0,0,0,0,0,0,0,0,0,0,73,86,70,81,62,74,54,93,48,38,46,40,0,0,0,0,0,0,0,0
1461584:Arthrobacter sp. 11W110_air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,398,340,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136843:Pseudomonas fluorescens group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,630,407,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710824:uncultured delta proteobacterium HF0070_10I02,0,0,0,0,99,78,58,37,0,0,90,52,57,34,348,384,237,292,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
